"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","GDP","TOT","USD_CAP","A","2004",25460.416248,
"GRC","GDP","TOT","USD_CAP","A","2005",25577.445437,
"GRC","GDP","TOT","USD_CAP","A","2006",28549.064285,
"GRC","GDP","TOT","USD_CAP","A","2007",29320.198062,
"GRC","GDP","TOT","USD_CAP","A","2008",30855.935774,
"GRC","GDP","TOT","USD_CAP","A","2009",30359.133791,
"GRC","GDP","TOT","USD_CAP","A","2010",27913.001545,"B"
"GRC","GDP","TOT","USD_CAP","A","2011",25671.291223,
"GRC","GDP","TOT","USD_CAP","A","2012",24911.062614,
"GRC","GDP","TOT","USD_CAP","A","2013",25986.57671,
"GRC","GDP","TOT","USD_CAP","A","2014",26625.188631,
"GRC","GDP","TOT","USD_CAP","A","2015",26760.152201,
"GRC","GDP","TOT","USD_CAP","A","2016",27511.777671,
"GRC","GDP","TOT","USD_CAP","A","2017",28604.794575,
"GRC","GDP","TOT","USD_CAP","A","2018",29617.499309,
"GRC","GDP","TOT","USD_CAP","A","2019",30373.048653,
"GRC","GDP","TOT","USD_CAP","A","2020",27967.250116,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31056.407088,"P"
"HUN","GDP","TOT","USD_CAP","A","2001",13207.922179,
"HUN","GDP","TOT","USD_CAP","A","2002",14526.388251,
"HUN","GDP","TOT","USD_CAP","A","2003",15478.245487,
"HUN","GDP","TOT","USD_CAP","A","2004",16268.84605,
"HUN","GDP","TOT","USD_CAP","A","2005",17108.340595,
"HUN","GDP","TOT","USD_CAP","A","2006",18383.746934,
"HUN","GDP","TOT","USD_CAP","A","2007",19094.288478,
"HUN","GDP","TOT","USD_CAP","A","2008",20721.502411,
"HUN","GDP","TOT","USD_CAP","A","2009",20722.67343,
"HUN","GDP","TOT","USD_CAP","A","2010",21742.657503,
"HUN","GDP","TOT","USD_CAP","A","2011",23029.447178,
"HUN","GDP","TOT","USD_CAP","A","2012",23267.448393,
"HUN","GDP","TOT","USD_CAP","A","2013",24547.980456,
"HUN","GDP","TOT","USD_CAP","A","2014",25691.527335,
"HUN","GDP","TOT","USD_CAP","A","2015",26798.854228,
"HUN","GDP","TOT","USD_CAP","A","2016",27941.926751,
"HUN","GDP","TOT","USD_CAP","A","2017",29496.163748,
"HUN","GDP","TOT","USD_CAP","A","2018",31908.661917,
"HUN","GDP","TOT","USD_CAP","A","2019",33609.65041,
"HUN","GDP","TOT","USD_CAP","A","2020",33367.522092,"P"
"HUN","GDP","TOT","USD_CAP","A","2021",36665.294279,"P"
"IRL","GDP","TOT","USD_CAP","A","2001",32587.805757,
"IRL","GDP","TOT","USD_CAP","A","2002",35222.881959,
"IRL","GDP","TOT","USD_CAP","A","2003",36278.795505,
"IRL","GDP","TOT","USD_CAP","A","2004",38761.397418,
"IRL","GDP","TOT","USD_CAP","A","2005",40465.540236,
"IRL","GDP","TOT","USD_CAP","A","2006",44271.383467,
"IRL","GDP","TOT","USD_CAP","A","2007",46760.275374,
"IRL","GDP","TOT","USD_CAP","A","2008",44105.305617,
"IRL","GDP","TOT","USD_CAP","A","2009",41436.633588,
"IRL","GDP","TOT","USD_CAP","A","2010",43214.112183,
"IRL","GDP","TOT","USD_CAP","A","2011",45100.566928,
"IRL","GDP","TOT","USD_CAP","A","2012",46409.6824,
"IRL","GDP","TOT","USD_CAP","A","2013",47882.067704,
"IRL","GDP","TOT","USD_CAP","A","2014",51195.991955,
"IRL","GDP","TOT","USD_CAP","A","2015",69165.900652,
"IRL","GDP","TOT","USD_CAP","A","2016",71633.128805,
"IRL","GDP","TOT","USD_CAP","A","2017",78051.654251,
"IRL","GDP","TOT","USD_CAP","A","2018",84824.352993,
"IRL","GDP","TOT","USD_CAP","A","2019",87550.548894,
"IRL","GDP","TOT","USD_CAP","A","2020",93442.328189,
"IRL","GDP","TOT","USD_CAP","A","2021",107862.427452,
"ITA","GDP","TOT","USD_CAP","A","2001",28030.921543,
"ITA","GDP","TOT","USD_CAP","A","2002",28721.076279,
"ITA","GDP","TOT","USD_CAP","A","2003",29153.1923,
"ITA","GDP","TOT","USD_CAP","A","2004",29481.685632,
"ITA","GDP","TOT","USD_CAP","A","2005",30028.488979,
"ITA","GDP","TOT","USD_CAP","A","2006",32311.38283,
"ITA","GDP","TOT","USD_CAP","A","2007",33956.490392,
"ITA","GDP","TOT","USD_CAP","A","2008",35292.601856,
"ITA","GDP","TOT","USD_CAP","A","2009",34335.571618,
"ITA","GDP","TOT","USD_CAP","A","2010",34839.916955,
"ITA","GDP","TOT","USD_CAP","A","2011",36203.328522,
"ITA","GDP","TOT","USD_CAP","A","2012",36091.373957,
"ITA","GDP","TOT","USD_CAP","A","2013",36267.925352,
"ITA","GDP","TOT","USD_CAP","A","2014",36475.976061,
"ITA","GDP","TOT","USD_CAP","A","2015",37206.331822,
"ITA","GDP","TOT","USD_CAP","A","2016",40267.222623,
"ITA","GDP","TOT","USD_CAP","A","2017",41951.466331,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",44376.537527,
"ITA","GDP","TOT","USD_CAP","A","2020",42088.117104,
"ITA","GDP","TOT","USD_CAP","A","2021",46073.227655,
"LUX","GDP","TOT","USD_CAP","A","2001",56082.401307,
"LUX","GDP","TOT","USD_CAP","A","2002",58513.393595,
"LUX","GDP","TOT","USD_CAP","A","2003",60112.409068,
"LUX","GDP","TOT","USD_CAP","A","2004",64633.730041,
"LUX","GDP","TOT","USD_CAP","A","2005",68707.781706,
"LUX","GDP","TOT","USD_CAP","A","2006",78830.462472,
"LUX","GDP","TOT","USD_CAP","A","2007",84984.721145,
"LUX","GDP","TOT","USD_CAP","A","2008",90863.784075,
"LUX","GDP","TOT","USD_CAP","A","2009",86799.979136,
"LUX","GDP","TOT","USD_CAP","A","2010",90257.591595,
"LUX","GDP","TOT","USD_CAP","A","2011",94278.922851,
"LUX","GDP","TOT","USD_CAP","A","2012",96535.745828,
"LUX","GDP","TOT","USD_CAP","A","2013",100561.366405,
"LUX","GDP","TOT","USD_CAP","A","2014",104917.945675,
"LUX","GDP","TOT","USD_CAP","A","2015",107898.304236,
"LUX","GDP","TOT","USD_CAP","A","2016",112955.470175,
"LUX","GDP","TOT","USD_CAP","A","2017",114862.528755,
"LUX","GDP","TOT","USD_CAP","A","2018",116334.724739,
"LUX","GDP","TOT","USD_CAP","A","2019",116441.790421,
"LUX","GDP","TOT","USD_CAP","A","2020",118747.486162,
"LUX","GDP","TOT","USD_CAP","A","2021",132473.952393,"P"
"NLD","GDP","TOT","USD_CAP","A","2001",33180.544383,
"NLD","GDP","TOT","USD_CAP","A","2002",34447.053372,
"NLD","GDP","TOT","USD_CAP","A","2003",34150.260289,
"NLD","GDP","TOT","USD_CAP","A","2004",35809.295703,
"NLD","GDP","TOT","USD_CAP","A","2005",37625.252435,
"NLD","GDP","TOT","USD_CAP","A","2006",41014.044759,
"NLD","GDP","TOT","USD_CAP","A","2007",43938.347892,
"NLD","GDP","TOT","USD_CAP","A","2008",46419.042594,
"NLD","GDP","TOT","USD_CAP","A","2009",44557.981143,
"NLD","GDP","TOT","USD_CAP","A","2010",45044.969112,
"NLD","GDP","TOT","USD_CAP","A","2011",46599.227659,
"NLD","GDP","TOT","USD_CAP","A","2012",47271.968226,
"NLD","GDP","TOT","USD_CAP","A","2013",49242.786711,
"NLD","GDP","TOT","USD_CAP","A","2014",49233.230349,
"NLD","GDP","TOT","USD_CAP","A","2015",50288.352815,
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",59003.864774,
"NLD","GDP","TOT","USD_CAP","A","2020",59001.177882,"P"
"NLD","GDP","TOT","USD_CAP","A","2021",63445.083337,"P"
"POL","GDP","TOT","USD_CAP","A","2001",11118.865029,
"POL","GDP","TOT","USD_CAP","A","2002",11803.761357,
"POL","GDP","TOT","USD_CAP","A","2003",12291.541453,
"POL","GDP","TOT","USD_CAP","A","2004",13354.456755,
"POL","GDP","TOT","USD_CAP","A","2005",13898.413011,
"POL","GDP","TOT","USD_CAP","A","2006",15156.021515,
"POL","GDP","TOT","USD_CAP","A","2007",16804.843293,
"POL","GDP","TOT","USD_CAP","A","2008",18308.038986,
"POL","GDP","TOT","USD_CAP","A","2009",19074.247921,
"POL","GDP","TOT","USD_CAP","A","2010",20633.623391,
"POL","GDP","TOT","USD_CAP","A","2011",22386.227115,
"POL","GDP","TOT","USD_CAP","A","2012",23300.922905,
"POL","GDP","TOT","USD_CAP","A","2013",24028.186721,
"POL","GDP","TOT","USD_CAP","A","2014",25005.655694,
"POL","GDP","TOT","USD_CAP","A","2015",26495.814917,
"POL","GDP","TOT","USD_CAP","A","2016",27830.927735,
"POL","GDP","TOT","USD_CAP","A","2017",29609.446369,
"POL","GDP","TOT","USD_CAP","A","2018",31662.210541,
"POL","GDP","TOT","USD_CAP","A","2019",33358.890434,
"POL","GDP","TOT","USD_CAP","A","2020",34040.704602,
"POL","GDP","TOT","USD_CAP","A","2021",37425.422316,
"PRT","GDP","TOT","USD_CAP","A","2001",19524.941284,
"PRT","GDP","TOT","USD_CAP","A","2002",20356.721555,
"PRT","GDP","TOT","USD_CAP","A","2003",20851.131027,
"PRT","GDP","TOT","USD_CAP","A","2004",21477.752034,
"PRT","GDP","TOT","USD_CAP","A","2005",22725.351606,
"PRT","GDP","TOT","USD_CAP","A","2006",24682.69159,
"PRT","GDP","TOT","USD_CAP","A","2007",25733.019568,
"PRT","GDP","TOT","USD_CAP","A","2008",26665.771577,
"PRT","GDP","TOT","USD_CAP","A","2009",26459.014535,
"PRT","GDP","TOT","USD_CAP","A","2010",27261.94794,
"PRT","GDP","TOT","USD_CAP","A","2011",26769.42769,
"PRT","GDP","TOT","USD_CAP","A","2012",26438.140472,
"PRT","GDP","TOT","USD_CAP","A","2013",27936.006299,
"PRT","GDP","TOT","USD_CAP","A","2014",28742.313125,
"PRT","GDP","TOT","USD_CAP","A","2015",29660.845901,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"PRT","GDP","TOT","USD_CAP","A","2018",34928.61899,
"PRT","GDP","TOT","USD_CAP","A","2019",36171.964841,
"PRT","GDP","TOT","USD_CAP","A","2020",34250.688379,"P"
"PRT","GDP","TOT","USD_CAP","A","2021",36456.863422,"P"
"SVK","GDP","TOT","USD_CAP","A","2001",12384.456371,
"SVK","GDP","TOT","USD_CAP","A","2002",13307.878099,
"SVK","GDP","TOT","USD_CAP","A","2003",14165.405025,
"SVK","GDP","TOT","USD_CAP","A","2004",15197.802923,
"SVK","GDP","TOT","USD_CAP","A","2005",16595.261602,
"SVK","GDP","TOT","USD_CAP","A","2006",18851.357046,
"SVK","GDP","TOT","USD_CAP","A","2007",21136.075204,
"SVK","GDP","TOT","USD_CAP","A","2008",23608.977522,
"SVK","GDP","TOT","USD_CAP","A","2009",22947.016917,
"SVK","GDP","TOT","USD_CAP","A","2010",25222.70393,
"SVK","GDP","TOT","USD_CAP","A","2011",26260.184756,
"SVK","GDP","TOT","USD_CAP","A","2012",27000.730262,
"SVK","GDP","TOT","USD_CAP","A","2013",28021.090416,
"SVK","GDP","TOT","USD_CAP","A","2014",29029.587681,
"SVK","GDP","TOT","USD_CAP","A","2015",30062.179649,
"SVK","GDP","TOT","USD_CAP","A","2016",29737.53009,
"SVK","GDP","TOT","USD_CAP","A","2017",30147.015977,
"SVK","GDP","TOT","USD_CAP","A","2018",31374.187996,
"SVK","GDP","TOT","USD_CAP","A","2019",32104.261948,
"SVK","GDP","TOT","USD_CAP","A","2020",31801.083565,
"SVK","GDP","TOT","USD_CAP","A","2021",33526.825338,
"ESP","GDP","TOT","USD_CAP","A","2001",22996.663676,
"ESP","GDP","TOT","USD_CAP","A","2002",24376.32871,
"ESP","GDP","TOT","USD_CAP","A","2003",25041.025848,
"ESP","GDP","TOT","USD_CAP","A","2004",26181.890036,
"ESP","GDP","TOT","USD_CAP","A","2005",27600.937175,
"ESP","GDP","TOT","USD_CAP","A","2006",30745.701401,
"ESP","GDP","TOT","USD_CAP","A","2007",32462.931726,
"ESP","GDP","TOT","USD_CAP","A","2008",33242.245427,
"ESP","GDP","TOT","USD_CAP","A","2009",32089.196919,
"ESP","GDP","TOT","USD_CAP","A","2010",31692.507932,
"ESP","GDP","TOT","USD_CAP","A","2011",31872.363088,
"ESP","GDP","TOT","USD_CAP","A","2012",31724.785352,
"ESP","GDP","TOT","USD_CAP","A","2013",32463.123679,
"ESP","GDP","TOT","USD_CAP","A","2014",33558.976673,
"ESP","GDP","TOT","USD_CAP","A","2015",34945.481614,
"ESP","GDP","TOT","USD_CAP","A","2016",37333.06491,
"ESP","GDP","TOT","USD_CAP","A","2017",39601.479631,
"ESP","GDP","TOT","USD_CAP","A","2018",40776.768298,
"ESP","GDP","TOT","USD_CAP","A","2019",41759.376892,
"ESP","GDP","TOT","USD_CAP","A","2020",37629.256454,"P"
"ESP","GDP","TOT","USD_CAP","A","2021",40831.299874,"P"
"SWE","GDP","TOT","USD_CAP","A","2001",29927.464323,
"SWE","GDP","TOT","USD_CAP","A","2002",30926.361002,
"SWE","GDP","TOT","USD_CAP","A","2003",31814.965825,
"SWE","GDP","TOT","USD_CAP","A","2004",33858.728495,
"SWE","GDP","TOT","USD_CAP","A","2005",34244.359285,
"SWE","GDP","TOT","USD_CAP","A","2006",37730.164034,
"SWE","GDP","TOT","USD_CAP","A","2007",40905.146506,
"SWE","GDP","TOT","USD_CAP","A","2008",42158.296425,
"SWE","GDP","TOT","USD_CAP","A","2009",40279.463885,
"SWE","GDP","TOT","USD_CAP","A","2010",42223.91888,
"SWE","GDP","TOT","USD_CAP","A","2011",44608.584887,
"SWE","GDP","TOT","USD_CAP","A","2012",45432.431014,
"SWE","GDP","TOT","USD_CAP","A","2013",46312.397402,
"SWE","GDP","TOT","USD_CAP","A","2014",47184.673173,
"SWE","GDP","TOT","USD_CAP","A","2015",49103.131953,
"SWE","GDP","TOT","USD_CAP","A","2016",50430.25079,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.95578,
"SWE","GDP","TOT","USD_CAP","A","2018",53521.635778,
"SWE","GDP","TOT","USD_CAP","A","2019",54598.781841,
"SWE","GDP","TOT","USD_CAP","A","2020",55631.003715,
"SWE","GDP","TOT","USD_CAP","A","2021",60076.587988,
"EST","GDP","TOT","USD_CAP","A","2001",10280.30664,
"EST","GDP","TOT","USD_CAP","A","2002",11628.295949,
"EST","GDP","TOT","USD_CAP","A","2003",13089.785312,
"EST","GDP","TOT","USD_CAP","A","2004",14496.447163,
"EST","GDP","TOT","USD_CAP","A","2005",16584.411085,
"EST","GDP","TOT","USD_CAP","A","2006",19289.599916,
"EST","GDP","TOT","USD_CAP","A","2007",22158.515385,
"EST","GDP","TOT","USD_CAP","A","2008",22780.0071,
"EST","GDP","TOT","USD_CAP","A","2009",20459.70237,
"EST","GDP","TOT","USD_CAP","A","2010",21589.87597,
"EST","GDP","TOT","USD_CAP","A","2011",24515.48857,
"EST","GDP","TOT","USD_CAP","A","2012",25946.944889,
"EST","GDP","TOT","USD_CAP","A","2013",27418.689637,
"EST","GDP","TOT","USD_CAP","A","2014",28917.833656,
"EST","GDP","TOT","USD_CAP","A","2015",29222.748082,
"EST","GDP","TOT","USD_CAP","A","2016",31310.152103,
"EST","GDP","TOT","USD_CAP","A","2017",33867.803542,
"EST","GDP","TOT","USD_CAP","A","2018",36488.637421,
"EST","GDP","TOT","USD_CAP","A","2019",37953.804355,
"EST","GDP","TOT","USD_CAP","A","2020",38546.762995,
"EST","GDP","TOT","USD_CAP","A","2021",43245.067266,
"SVN","GDP","TOT","USD_CAP","A","2001",18949.227486,
"SVN","GDP","TOT","USD_CAP","A","2002",20236.432071,
"SVN","GDP","TOT","USD_CAP","A","2003",21106.609472,
"SVN","GDP","TOT","USD_CAP","A","2004",22757.993512,
"SVN","GDP","TOT","USD_CAP","A","2005",23848.602419,
"SVN","GDP","TOT","USD_CAP","A","2006",25707.877384,
"SVN","GDP","TOT","USD_CAP","A","2007",27559.986593,
"SVN","GDP","TOT","USD_CAP","A","2008",29594.665839,"B"
"SVN","GDP","TOT","USD_CAP","A","2009",27510.882999,
"SVN","GDP","TOT","USD_CAP","A","2010",27823.655096,
"SVN","GDP","TOT","USD_CAP","A","2011",28931.423641,
"SVN","GDP","TOT","USD_CAP","A","2012",29048.325999,
"SVN","GDP","TOT","USD_CAP","A","2013",29979.618841,
"SVN","GDP","TOT","USD_CAP","A","2014",30872.72888,
"SVN","GDP","TOT","USD_CAP","A","2015",31631.838376,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36517.579273,
"SVN","GDP","TOT","USD_CAP","A","2018",39008.297051,
"SVN","GDP","TOT","USD_CAP","A","2019",40773.2339,
"SVN","GDP","TOT","USD_CAP","A","2020",39804.907823,
"SVN","GDP","TOT","USD_CAP","A","2021",43767.211888,
"LVA","GDP","TOT","USD_CAP","A","2001",9042.502938,
"LVA","GDP","TOT","USD_CAP","A","2002",10080.309806,
"LVA","GDP","TOT","USD_CAP","A","2003",11060.312032,
"LVA","GDP","TOT","USD_CAP","A","2004",12279.253426,
"LVA","GDP","TOT","USD_CAP","A","2005",13914.102605,
"LVA","GDP","TOT","USD_CAP","A","2006",15857.134739,
"LVA","GDP","TOT","USD_CAP","A","2007",18230.797977,
"LVA","GDP","TOT","USD_CAP","A","2008",19569.535748,
"LVA","GDP","TOT","USD_CAP","A","2009",17021.221711,
"LVA","GDP","TOT","USD_CAP","A","2010",17709.155456,
"LVA","GDP","TOT","USD_CAP","A","2011",19256.68991,
"LVA","GDP","TOT","USD_CAP","A","2012",21297.472621,
"LVA","GDP","TOT","USD_CAP","A","2013",22637.197448,
